mk	chrom.p	pos.start	pos.end	chrom.g	cM
1.01	1	1	500000	1	0
1.02	1	500001	1000000	1	1.83004315376026
1.03	1	1000001	1500000	1	2.88071226081554
1.04	1	1500001	2000000	1	4.4998768625727
1.05	1	2000001	2500000	1	7.12828678923982
1.06	1	2500001	3000000	1	8.18737070724309
1.07	1	3000001	3500000	1	10.459989312919
1.08	1	3500001	4000000	1	10.8167019209171
1.09	1	4000001	4500000	1	13.8395479540486
1.1	1	4500001	5000000	1	14.9401332753161
1.11	1	5000001	5500000	1	16.7394698731031
1.13	1	6000001	6500000	1	19.1728751749789
1.14	1	6500001	7000000	1	19.4656672266601
1.15	1	7000001	7500000	1	21.0757432045242
1.16	1	7500001	8000000	1	22.100821982058
1.17	1	8000001	8500000	1	24.3746181823696
1.18	1	8500001	9000000	1	25.6308066484446
1.19	1	9000001	9500000	1	27.0249619445095
1.2	1	9500001	10000000	1	28.3412716453038
1.21	1	10000001	10500000	1	29.2191491802942
1.22	1	10500001	11000000	1	29.6772337783317
1.23	1	11000001	11500000	1	31.7834136115814
1.24	1	11500001	12000000	1	32.1104991759021
1.25	1	12000001	12500000	1	32.8796111707297
1.26	1	12500001	13000000	1	33.5460553263878
1.27	1	13000001	13500000	1	34.2923021277527
1.28	1	13500001	14000000	1	35.175686257224
1.29	1	14000001	14500000	1	35.6110910670986
1.3	1	14500001	15000000	1	35.9889266302155
1.31	1	15000001	15500000	1	36.8733169138079
1.32	1	15500001	16000000	1	37.1818985444205
1.33	1	16000001	16500000	1	37.1818986444205
1.34	1	16500001	17000000	1	37.1818987444205
1.35	1	17000001	17500000	1	37.1818988444205
1.36	1	17500001	18000000	1	37.455426502024
1.37	1	18000001	18500000	1	37.455426602024
1.38	1	18500001	19000000	1	37.5920199130061
1.39	1	19000001	20000000	1	38.412873930978
1.4	1	20000001	21000000	1	38.412873830978
1.41	1	21000001	22000000	1	38.2761605832456
1.42	1	22000001	23000000	1	38.2761604832456
1.43	1	23000001	24000000	1	38.0027656858634
1.44	1	24000001	25000000	1	38.0027657858634
1.45	1	25000001	26000000	1	38.0027658858634
1.46	1	26000001	27000000	1	38.0027659858634
1.47	1	27000001	28000000	1	38.0027660858634
1.48	1	28000001	29000000	1	38.0027661858634
1.49	1	29000001	30000000	1	38.0027662858634
1.5	1	30000001	31000000	1	38.0027663858634
1.51	1	31000001	31500000	1	38.0027664858634
1.52	1	31500001	32000000	1	38.0027665858634
1.53	1	32000001	32500000	1	38.1394635562237
1.54	1	32500001	33000000	1	38.2761564607682
1.55	1	33000001	33500000	1	39.6186064843812
1.56	1	33500001	34000000	1	39.6186065843812
1.57	1	34000001	34500000	1	39.7824641435479
1.58	1	34500001	35000000	1	39.7824642435479
1.59	1	35000001	35500000	1	39.9875676380156
1.6	1	35500001	36000000	1	40.1927271930268
1.61	1	36000001	36500000	1	40.1927272930268
1.62	1	36500001	37000000	1	41.0158457387437
1.63	1	37000001	37500000	1	41.1791326995007
1.64	1	37500001	38000000	1	41.8371428243109
1.65	1	38000001	38500000	1	42.8176141382874
1.66	1	38500001	39000000	1	43.5547565128124
1.67	1	39000001	39500000	1	44.2325320879815
1.68	1	39500001	40000000	1	45.0019257564962
1.69	1	40000001	40500000	1	46.0777742017914
1.7	1	40500001	41000000	1	47.3431697335168
1.71	1	41000001	41500000	1	48.327030476233
1.72	1	41500001	42000000	1	49.2938440852502
1.73	1	42000001	42500000	1	50.4905542725506
1.74	1	42500001	43000000	1	52.160269259378
1.75	1	43000001	43500000	1	53.1654331068109
1.76	1	43500001	44000000	1	54.7235190978002
1.77	1	44000001	44500000	1	56.0226269651258
1.78	1	44500001	44842349	1	56.4456934933345
2.01	2	1	500000	2	0
2.02	2	500001	1000000	2	1.42920655803491
2.03	2	1000001	1500000	2	3.33496551188115
2.04	2	1500001	2000000	2	5.31160496287773
2.05	2	2000001	2500000	2	6.86922538713593
2.06	2	2500001	3000000	2	8.92562946930411
2.07	2	3000001	3500000	2	10.3107059677782
2.08	2	3500001	4000000	2	11.8078716644641
2.09	2	4000001	4500000	2	13.0887506564621
2.1	2	4500001	5000000	2	13.8491263364235
2.11	2	5000001	5500000	2	14.5073455444483
2.12	2	5500001	6000000	2	15.4490659965778
2.13	2	6000001	6500000	2	15.8652208323684
2.14	2	6500001	7000000	2	16.5230535455817
2.15	2	7000001	7500000	2	18.3125449196085
2.16	2	7500001	8000000	2	18.3125450196085
2.17	2	8000001	8500000	2	19.2684284518559
2.2	2	9500001	10000000	2	19.11001010776
2.21	2	10000001	10500000	2	19.8472751210923
2.22	2	10500001	11000000	2	20.1903842710875
2.23	2	11000001	11500000	2	19.8472733201425
2.24	2	11500001	12000000	2	19.6761673961146
2.25	2	12000001	12500000	2	19.6761672961146
2.26	2	12500001	13000000	2	19.4045170357258
2.27	2	13000001	13500000	2	20.6360134838849
2.28	2	13500001	14000000	2	20.6360135838849
2.29	2	14000001	14500000	2	20.7742128201244
2.3	2	14500001	15000000	2	20.9124177070922
2.31	2	15000001	15500000	2	21.1182035188884
2.32	2	15500001	16000000	2	21.3239374495603
2.33	2	16000001	17000000	2	20.6360136838849
2.34	2	17000001	18000000	2	20.3614937696954
2.35	2	18000001	19000000	2	20.3614938696954
2.36	2	19000001	20000000	2	20.6360137838849
2.37	2	20000001	21000000	2	20.6360138838849
2.38	2	21000001	22000000	2	20.6360139838849
2.39	2	22000001	23000000	2	20.9124178070922
2.4	2	23000001	24000000	2	20.3614939696954
2.41	2	24000001	25000000	2	20.6360140838849
2.42	2	25000001	26000000	2	20.6360141838849
2.43	2	26000001	27000000	2	20.6360142838849
2.44	2	27000001	28000000	2	20.6360143838849
